 店舗名,店舗住所,カテゴリー,電話番号,URL
福寿司,〒630-8365 奈良県奈良市下御門町38御門ビル1F,飲食店,0742-26-5677,-
ワインバー  セヴ,〒630-8372 奈良県奈良市西寺林町19-1,飲食店,0742-25-2233,-
なら泉勇斎,〒630-8372 奈良県奈良市西寺林町22,飲食店,0742-26-6078,http://www.naraizumi.jp
和彩Rest紅絲,〒630-8372 奈良県奈良市西寺林町23-2-1F,飲食店,0742-26-0617,-
Cherry's spoon,〒630-8372 奈良県奈良市西寺林町26番地,飲食店,0742-24-7636,-
Bar Fiddich,〒630-8373 奈良県奈良市南市町4番地植畑ビル2階,飲食店,0742-22-5250,-
京家,〒630-8373 奈良県奈良市南市町27,飲食店,0742-23-1520,-
焼肉  絆,〒630-8373 奈良県奈良市南市町4番地植畑ビル1F,飲食店,0742-22-1129,http://yakiniku-kizuna.com
柿の葉ずし総本家平宗 奈良店 本館,〒630-8374 奈良県奈良市今御門町30-1,飲食店,0742-22-0866,http://www.hiraso.jp/store/
割烹つるや,〒630-8374 奈良県奈良市今御門町26-2つるや,飲食店,0742-22-5588,-
肉懐石冨久傳,〒630-8381 奈良県奈良市福智院町31,飲食店,0742-25-2910,-
水乃江,〒630-8381 奈良県奈良市福智院町2-1,飲食店,0742-27-3025,-
TERRACE,〒630-8382 奈良県奈良市公納堂町10,飲食店,0742-93-4405,https://terrace-naramachi.com/
Bubble tea shop T.,〒630-8382 奈良県奈良市公納堂町12ならまち工房Ⅲ  8号室,飲食店,0742-42-6343,https://www.tdot.jp/
のこのこ,〒630-8382 奈良県奈良市公納堂町24,飲食店,0742-24-7167,-
o・mo・ya奈良町店,〒630-8382 奈良県奈良市公納堂町11,飲食店,0742-21-7500,http://www.secondhouse.co.jp/omoya/omo3.html
囲炉裏ダイニングたなか,〒630-8391 奈良県奈良市鵲町6-11,飲食店,0742-23-0541,-
パルコ,〒630-8393 奈良県奈良市鶴福院町1-1,飲食店,0742-26-8885,-
ワンカルビ神殿店,〒630-8441 奈良県奈良市神殿町710,飲食店,0742-62-1129,http://www.1dining.co.jp/
和食さと  奈良神殿店,〒630-8441 奈良県奈良市神殿町667-1,飲食店,0742-63-2297,-
たべものやちきん,〒630-8441 奈良県奈良市神殿町577-5,飲食店,0742-62-8635,http://chikinkun.exblog.jp/
カレーハウスCoCo壱番屋  奈良神殿店,〒630-8441 奈良県奈良市神殿町６３０－４,飲食店,0742-64-7811,-
まるかつ,〒630-8441 奈良県奈良市神殿町667-1まるかつ,飲食店,0742-81-4568,https://marukatsu912.com
すき家  奈良神殿店,〒630-8441 奈良県奈良市神殿町548,飲食店,0120-498-007,-
やよい,〒630-8451 奈良県奈良市北之庄町11-2,飲食店,0742-62-4513,-
かに道楽  奈良本店,〒630-8453 奈良県奈良市西九条町5-2-9,飲食店,0120-632-532,https://douraku.co.jp/kansai/narahonten/
マクドナルド奈良からもも店,〒630-8454 奈良県奈良市杏町152-1,飲食店,0742-63-3094,https://map.mcdonalds.co.jp/map/29008
カフェ ラ・ポーズＭＥＤ,〒630-8581 奈良県奈良市七条西町2丁目897－5奈良県総合医療センター１Ｆ,飲食店,0742-81-3972,http://www.tokokuro.jp/topics/2018/_med7th_medopen.html
居間焼肉  百欒  登美ケ丘店,〒631-0003 奈良県奈良市中登美ケ丘6-7-31,飲食店,0742-51-1515,-
大起水産回転寿司奈良学園前店,〒631-0003 奈良県奈良市中登美ヶ丘6-7-7ナコープラザ内,飲食店,0742-52-1010,-
むさしの森珈琲 奈良中登美ケ丘,〒631-0003 奈良県奈良市中登美ヶ丘６丁目１５－１２,飲食店,0742-53-5060,-
ステーキハウス壹番（いちばん）,〒631-0004 奈良県奈良市登美ケ丘5丁目2-7,飲食店,0742-48-8100,http://www.steak-ichiban.com
板前焼肉一,〒631-0004 奈良県奈良市登美ヶ丘2-3-13,飲食店,0742-53-2911,http://itamae-yakiniku.com/_hajime/
一歩堂  登美ヶ丘店,〒631-0004 奈良県奈良市登美ケ丘5-1-2,飲食店,0742-47-8008,-
アジアンテラス  Chua'n,〒631-0004 奈良県奈良市登美ケ丘3丁目2-10コスモビル1階,飲食店,0742-55-0192,http://chuan.asia/
焼き鳥ばる  Monday,〒631-0004 奈良県奈良市登美ヶ丘3丁目12-7エレガンス登美ヶ丘1F,飲食店,070-8325-0853,-
炭火焼肉とみや登美ヶ丘店,〒631-0006 奈良県奈良市西登美ケ丘1-4-15,飲食店,0742-44-2909,-
割烹  川清,〒631-0006 奈良県奈良市三碓町2250-3,飲食店,0742-44-2625,http://www.katupho-kawasei.co
ラ・フランボワーズ,〒631-0007 奈良県奈良市松陽台3-4-8,飲食店,0742-40-3667,https://r.gnavi.co.jp/k504600/
すき家  橿原店,〒631-0007 奈良県橿原市葛本町東笠706,飲食店,0120-498-007,-
にぎり長次郎押熊店,〒631-0011 奈良県奈良市押熊町2144-3,飲食店,0742-93-3711,http://chojiro.jp/shop/shop.php?id=50
テーブルオーダーバイキング 焼肉 王道  押熊店,〒631-0011 奈良県奈良市押熊町2269-250,飲食店,0742-53-8929,-
天下一品 押熊店,〒631-0011 奈良県奈良市押熊町１１３０－４新田ビル１Ｆ,飲食店,0742-45-1222,-
河童ラーメン  押熊店,〒631-0011 奈良県奈良市押熊町2145-4,飲食店,074-251-5545,http://kappa-hompo.co.jp/
餃子の王将押熊店,〒631-0011 奈良県奈良市押熊町1501-1,飲食店,0742-52-3045,-
ワンカルビ押熊店,〒631-0011 奈良県奈良市押熊町1453-2,飲食店,0742-49-1129,http://www.1dining.co.jp/
ビッグボーイ 奈良平城,〒631-0011 奈良県奈良市押熊町947,飲食店,0742-43-2922,https://www.bigboyjapan.co.jp/
中華料理  福吉,〒631-0011 奈良県奈良市押熊町1051-2ナラヤマエステートビル1F,飲食店,0742-47-6688,-
サーティーワンアイスクリーム  奈良押熊店,〒631-0011 奈良県奈良市押熊町1102-1,飲食店,0742-51-7731,https://www.31ice.co.jp/
しゃぶ葉 奈良押熊,〒631-0011 奈良県奈良市押熊町７７９－１８,飲食店,0742-40-2154,-
元喜神  押熊店,〒631-0011 奈良県奈良市押熊町1556-1,飲食店,0742-41-7021,-
創作ダイニング楽,〒631-0012 奈良県奈良市中山町1546-5レインボーマンション中山1Ｆ,飲食店,0742-47-1147,-
レストランPAO  押熊店,〒631-0012 奈良県奈良市中山町1429-1,飲食店,0742-44-2346,-
ちょい呑み まんまや,〒631-0013 奈良県奈良市中山町西４丁目535-489コーポ学園前306,飲食店,080-4021-0142,http://manma-ya.com/
タンしゃぶ鍋と焼肉の店  こいずみ,〒631-0021 奈良県奈良市鶴舞東町２－２５岡田ビル１Ｆ,飲食店,0742-41-2989,-
百楽荘,〒631-0024 奈良県奈良市百楽園3-1-3,飲食店,0742-45-0281,https://kintetsu-rs.com/brand/
ラテラス  イリゼ,〒631-0032 奈良県奈良市あやめ池北1丁目34-7HANA,飲食店,0742-40-0066,https://laterrasse.jp/irisee/
パティスリー ラ・テラス あやめ池店,〒631-0032 奈良県奈良市あやめ池北1丁目34-7HANA,飲食店,0742-40-0067,http://dlight.jp/brand/cafe/#patiseserelatrrse
あやめ館,〒631-0032 奈良県奈良市あやめ池北1-34-17,飲食店,0742-45-0185,https://kintetsu-rs.com/brand/brand_categ/brandca__ayamekan/
酒香菜や,〒631-0033 奈良県奈良市あやめ池南２－１－３５,飲食店,0742-44-1000,-
食道園  パラディ学園前店,〒631-0036 奈良県奈良市学園北1-9-1パラディ南館4Ｆ,飲食店,0742-48-5559,http://www.syokudoen.co.jp
ミスタードーナツ学園前店,〒631-0036 奈良県奈良市学園北1-1-1-101,飲食店,0742-43-4807,-
うまいもんや味楽座学園前店,〒631-0036 奈良県奈良市学園北1-1-1ルシエル学園前2F,飲食店,0742-52-1758,https://kintetsu-rs.com/brand/
麺ざんまい学園前店,〒631-0036 奈良県奈良市学園北1-1-1ル・シエル学園前2F,飲食店,0742-52-1763,https://kintetsu-rs.com/brand/
銀座四川学園前駅ビル店,〒631-0036 奈良県奈良市学園北1-1-1  ル・シエル学園前2F,飲食店,0742-52-7738,https://kintetsu-rs.com/brand/
地鶏炭火焼  鶏扱説明所  学園前店,〒631-0036 奈良県奈良市学園北１－１－１２和幸ビル１階,飲食店,0742-51-8789,https://hitosara.com/0006071439/
広島焼  雪風,〒631-0036 奈良県奈良市学園北2丁目1-6セブンスターマンション1F,飲食店,0742-44-7878,https://yukikaze11.gorp.jp/
鳥鳥  学園前店,〒631-0036 奈良県奈良市学園北2-5-9,飲食店,0742-44-2535,-
食道園  奈良学園前店,〒631-0041 奈良県奈良市学園大和町2-124,飲食店,0742-46-7855,http://www.syokudoen.co.jp
かごの屋  学園前店,〒631-0041 奈良県奈良市学園大和町2-235-1,飲食店,0742-47-1300,https://kagonoya.food-kr.com/shop/
木曽路学園前店,〒631-0041 奈良県奈良市学園大和町2丁目125-1,飲食店,0742-44-3933,https://www.kisoji.co.jp/kisoji/navi/shop_detail.asp?ShopNo=623
ヴァンティミリア,〒631-0041 奈良県奈良市学園大和町２丁目52大和スーパーマンション1Ｆ－Ｄ,飲食店,0742-43-3773,-
あさひYa！カフェ,〒631-0041 奈良県奈良市学園大和町1-1442-7,飲食店,0742-44-2229,https://m.facebook.com/8asahiya8cafe8/
ガスト 奈良藤ノ木台,〒631-0044 奈良県奈良市藤ノ木台１丁目１－２３,飲食店,0742-53-0275,-
カレーハウスCoCo壱番屋  奈良藤ノ木台店,〒631-0044 奈良県奈良市藤ノ木台一丁目１－２５,飲食店,0742-52-9002,-
大阪王将 奈良学園前店,〒631-0052 奈良県奈良市中町1-96,飲食店,0742-53-7510,-
あずさ珈琲  学園前店,〒631-0052 奈良県奈良市中町1-78,飲食店,070-2448-7752,https://kagonoya.food-kr.com/shop/
コメダ珈琲店奈良中町店,〒631-0052 奈良県奈良市中町２５９５－２,飲食店,0742-51-2777,https://www.komeda.co.jp/search/shopdetail.php?id=502
ワンカルビ学園前店,〒631-0052 奈良県奈良市中町879-1,飲食店,0742-47-4129,http://www.1dining.co.jp/
サーティーワンアイスクリーム  学園前RS店,〒631-0052 奈良県奈良市中町1-78-7,飲食店,0742-51-3431,https://www.31ice.co.jp/
薬膳カフェ  花美津姫,〒631-0052 奈良県奈良市中町3879霊山寺内,飲食店,0742-48-3077,https://www.hotpepper.jp/strJ001251165/
お好み焼・鉄板焼  きん太  奈良学園前店,〒631-0052 奈良県奈良市中町1-78,飲食店,0742-53-8866,-
とんかつかつ喜  奈良学園前店,〒631-0052 奈良県奈良市中町1-78,飲食店,0742-40-2731,http://www.kiraku-g.co.jp/
お好み焼はここやねん  イオンタウン富雄南店,〒631-0054 奈良県奈良市石木町１００－１,飲食店,0742-48-2100,https://www.cocoyanen.jp/shop_detail?id=tomio
かつ満  イオンタウン富雄南,〒631-0054 奈良県奈良市石木町100-1イオンタウン富雄南,飲食店,0742-49-8550,http://www.fujiofood.com/
オランダ屋富雄店,〒631-0054 奈良県奈良市石木町631-1,飲食店,0742-31-3644,https://www.fujieda-coffee.co.jp/cafe-tomio.html
なべや焼肉店,〒631-0061 奈良県奈良市三碓町2250-5,飲食店,0742-95-5898,-
来来軒,〒631-0061 奈良県奈良市三碓2丁目1-1リコービル,飲食店,0742-48-8929,-
ROKUMEI COFFEE CO.TOMIO ROASTERY,〒631-0061 奈良県奈良市三碓7-29-1,飲食店,0742-93-4433,https://rokumei.coffee
すき家  奈良富雄店,〒631-0061 奈良県奈良市三碓7-1-23,飲食店,0120-498-007,-
一休東生駒店,〒631-0062 奈良県生駒市東菜畑１－２９８－１YD３番館１０５,飲食店,0743-75-4945,http://ikkyu19@kcn.ne.jp
デリカテッセンイーハトーヴSora,〒631-0064 奈良県奈良市帝塚山南4丁目１１－１４,飲食店,0742-95-6655,-
みやけ  旧鴻池邸表屋,〒631-0065 奈良県奈良市鳥見町1-5-1,飲食店,0742-51-3008,http://www.miyake-flagship.jp/
飛天誠華,〒631-0065 奈良県奈良市鳥見町1-1-4広徳マンション,飲食店,0742-93-5877,-
リストランテ  ラ・カーサミーア,〒631-0071 奈良県奈良市二名平野1-1699-1,飲食店,0742-87-1037,http://lacasamia.net
飛鳥カンツリー倶楽部レストラン,〒631-0072 奈良県奈良市二名7丁目1441番地飛鳥カンツリー倶楽部内,飲食店,0742-44-0301,https://kintetsu-rs.com/brand/brand_categ/brandca__golf/
かっぱ寿司  奈良二名店,〒631-0072 奈良県奈良市二名3-1061,飲食店,0742-53-9680,https://www.kappasushi.jp
梅の花  奈良店,〒631-0072 奈良県奈良市二名1－2378,飲食店,0742-53-5501,https://www.umenohana.co.jp/
肉匠迎賓館  富雄店,〒631-0074 奈良県奈良市三松４丁目879-1,飲食店,0742-52-4129,http://www.yakinikugeihinkan.com
焼肉工房わらく,〒631-0076 奈良県奈良市富雄北１丁目３―１１,飲食店,0742-44-2941,-
居酒家  そう吾,〒631-0078 奈良県奈良市富雄元町2丁目5−20トミオプラザ,飲食店,0742-47-0851,https://izakaya-sougo.info/
炭火ITALIAN WINE BAR 元町NEWS  ,〒631-0078 奈良県奈良市富雄元町2-3-12ライフコート102,飲食店,0742-93-8599,https://www.hotpepper.jp/strJ001225429/
和  あすか,〒631-0078 奈良県奈良市富雄元町4-3-15-2,飲食店,0742-41-8282,-
桃花源,〒631-0078 奈良県奈良市富雄元町1-24-24,飲食店,0742-41-3210,-
餃子の王将富雄店,〒631-0078 奈良県奈良市富雄元町2-6-47,飲食店,0742-51-3951,-
のみくいや楽鳥,〒631-0078 奈良県奈良市富雄元町3-3-12-102,飲食店,070-5340-6393,https://rakuchou.owst.jp/
和  だいにんぐ  YUBA,〒631-0078 奈良県奈良市富雄元町2丁目6-47ライオンズ北棟2F,飲食店,0742-45-7300,-
フレンチ居酒屋えとね,〒631-0078 奈良県奈良市富雄元町2-5-25明光富雄ビル102,飲食店,0742-41-0189,https://etonner-nara.info/
やきとり一番富雄駅前店,〒631-0078 奈良県奈良市富雄元町2-4-5マンション木村,飲食店,0742-44-3994,-
焼鳥  福籠,〒631-0078 奈良県奈良市富雄元町2-6-47ライオンズプラザ富雄北棟2F,飲食店,0742-47-9889,-
鳥貴族  富雄店,〒631-0078 奈良県奈良市富雄元町1-24-24トミオコートB1,飲食店,0742-81-4222,https://torikizoku.co.jp/store/l/-/yuan-/504
すし処  鮨田,〒631-0078 奈良県奈良市富雄元町2-5-25明光富雄ビル１０３,飲食店,0742-47-6054,-
たこどうらく,〒631-0078 奈良県奈良市富雄元町２丁目1ー12ー102細川ビル,飲食店,090-1964-9573,-
Green Garden,〒631-0078 奈良県奈良市富雄元町3-1-19辻内マンション1F-D,飲食店,0742-41-7767,-
テバス東生駒店,〒631-0252 奈良県生駒市山崎町4-5NDAビル１F,飲食店,0743-61-5234,-
小樽食堂  奈良西大寺店,〒631-0803 奈良県奈良市山陵町162-1,飲食店,0742-34-1050,https://r.gnavi.co.jp/k905100/
ベビーフェイス押熊店,〒631-0804 奈良県奈良市神功5-1-2,飲食店,0742-71-7585,-
うなぎの川はら  押熊店,〒631-0804 奈良県奈良市神功5-2-1,飲食店,0742-93-4090,http://unagino-kawahara.com/
ステーキ  雪峰,〒631-0804 奈良県奈良市神功３丁目１－６,飲食店,0742-72-2941,https://r.gnavi.co.jp/c857000/
株式会社  アルペンローゼ,〒631-0804 奈良県奈良市神功４丁目6-6,飲食料品店,0742-72-4183,-
ミスタードーナツ高の原店,〒631-0805 奈良県奈良市右京1-3-4,飲食店,0742-70-2077,-
得得  高の原サンタウン店,〒631-0805 奈良県奈良市右京1-3-4  サンタウンプラザスズラン館1Ｆ,飲食店,0742-72-2212,-
焼肉工房じゅじゅ,〒631-0805 奈良県奈良市右京1丁目3-1平城第二団地5-101,飲食店,0742-71-2941,-
テバス高の原店,〒631-0805 奈良県奈良市右京１-４サンタウンプラザひまわり館１F,飲食店,0742-70-5170,-
goodspoon 高の原テラス店,〒631-0805 奈良県奈良市右京1-5-1,飲食店,0742-70-0021,-
高の原ばーるKaeru Kouen,〒631-0805 奈良県奈良市右京1丁目3番地の1平城第二ショッピングセンター  3-101,飲食店,0742-42-6034,https://instagram.com/kaerukouen
来来亭秋篠店,〒631-0811 奈良県奈良市秋篠町1424-3,飲食店,0742-47-0023,-
奈良秋篠食堂,〒631-0811 奈良県奈良市秋篠町1425-1,飲食店,0742-52-8018,http://www.fujiofood.com/
隠れ家  志希,〒631-0816 奈良県奈良市西大寺本町1の11,飲食店,0742-32-3288,-
魚源,〒631-0816 奈良県奈良市西大寺本町2-24,飲食店,0742-33-7851,-
焼肉工房もく  ,〒631-0817 奈良県奈良市西大寺北町1－4－20－1F宮木ビル,飲食店,0742-51-5529,https://www.yakinikumoku.com/
ＰａｒｕｍＣａｆｅ,〒631-0821 奈良県奈良市西大寺東町２－１－６３サンワシティ西大寺ビルＢ１,飲食店,0742-36-3555,http://www.parum-cafe.com
カプリチョーザ  ならファミリー店,〒631-0821 奈良県奈良市西大寺東町２－４－１ならファミリー６階,飲食店,0742-33-6963,http://capricciosa.com/
たんとと和くら  ならファミリー店,〒631-0821 奈良県奈良市西大寺東町2-4-1 ならファミリー6Ｆ,飲食店,0742-93-7177,-
ビストロ酒場ASUROKU西大寺店,〒631-0821 奈良県奈良市西大寺東町二丁目1-63サンワシティ西大寺  地下1階,飲食店,0742-81-9774,http://www.iconet.co.jp/shop/brand/11.html
そじ坊  西大寺ならファミリー店,〒631-0821 奈良県奈良市西大寺東町2-4-1奈良ファミリーB1F,飲食店,0742-34-5599,-
鮨・酒・肴  杉玉  大和西大寺,〒631-0821 奈良県奈良市西大寺東町2丁目1番63号サンワシティ西大寺 B1階 ,飲食店,0742-30-1112,-
鶴橋風月  西大寺店,〒631-0821 奈良県奈良市西大寺東町2-4-1奈良ファミリー6F,飲食店,0742-35-5710,https://fugetsu.jp/
マクドナルドならファミリー店,〒631-0821 奈良県奈良市西大寺東町2丁目4-1ならファミリー,飲食店,0742-81-7778,https://map.mcdonalds.co.jp/map/29558
桃谷樓 西大寺ならファミリー店,〒631-0821 奈良県奈良市西大寺東町2－4－1ならファミリー６F,飲食店,0742-36-5646,https://www.tokokuro.jp/shop/saidaiji/index.html
築地海鮮飛賀屋ならファミリー店,〒631-0821 奈良県奈良市西大寺東町2-4-1ならファミリー6階,飲食店,0742-93-9375,-
李朝園  奈良ファミリー店,〒631-0821 奈良県奈良市西大寺東町2-4-1奈良ファミリー６F,飲食料品店,0742-34-1118,-
かつ満  ならファミリー,〒631-0821 奈良県奈良市西大寺東町２丁目４-１ならファミリー６Ｆ,飲食店,0742-34-3990,http://www.fujiofood.com/
さち福や  ならファミリー,〒631-0821 奈良県奈良市西大寺東町２丁目４－１ならファミリー６Ｆ,飲食店,0742-34-4122,http://www.fujiofood.com/
バケット奈良ファミリー店,〒631-0821 奈良県奈良市西大寺東町2-4-1奈良ファミリー  6F,飲食店,0742-32-0309,https://www.saint-marc-hd.com/baqet
サーティワンアイスクリームならファミリー店,〒631-0821 奈良県奈良市西大寺東町２－４－１ならファミリーＢＦ,飲食料品店,0742-93-7431,-
西大寺バル,〒631-0822 奈良県奈良市西大寺栄町３－１０三和栄町ビル１Ｆ,飲食料品店,0742-55-0290,https://www.hotpepper.jp/strJ001046983/
小間蔵hana 大和西大寺店,〒631-0822 奈良県奈良市西大寺栄町三丁目12梅守ビル2階,飲食店,0742-81-3368,http://www.iconet.co.jp/shop/brand/10.html
ごきげんえびす 大和西大寺店,〒631-0822 奈良県奈良市西大寺栄町三丁目12梅守ビル1階,飲食店,0742-93-3348,http://www.iconet.co.jp/shop/brand/12.html
地鶏炭火焼  鶏扱説明所  西大寺店,〒631-0822 奈良県奈良市西大寺栄町２ー１２新奥田ビル１階,飲食店,0742-33-9989,https://hitosara.com/0006030751/
パオルーツ,〒631-0822 奈良県奈良市西大寺栄町3-12,飲食店,0742-35-0085,http://www.paoroots.com/
鳥貴族 近鉄西大寺店,〒631-0822 奈良県奈良市西大寺栄町3-12梅守第一ビル3階,飲食店,0742-93-8552,-
おでん屋かく田,〒631-0822 奈良県奈良市西大寺栄町3-12サンワ栄町第二ビル,飲食料品店,0742-33-6626,-
くいもの屋わん大和西大寺店,〒631-0822 奈良県奈良市西大寺栄町３－１２梅守ビル４F,飲食店,0742-30-6660,https://wan-yamatosaidaiji.owst.jp
奈良スペイン料理 PicaPica,〒631-0823 奈良県奈良市西大寺国見町1-7-22,飲食店,0742-53-7530,https://worldheritage.co.jp/picapica/
くくる近鉄大和西大寺駅店,〒631-0823 奈良県奈良市西大寺国見町一丁目１－１大和西大寺駅,飲食料品店,0742-34-6606,https://www.shirohato.com/kukuru/doutonbori.html
風の家  近鉄大和西大寺駅店,〒631-0823 奈良県奈良市西大寺国見町一丁目１－１大和西大寺駅,飲食料品店,0742-34-3380,http://store.o-be.co.jp/concept/index.html
幡・INOUE近鉄大和西大寺駅店,〒631-0823 奈良県奈良市西大寺国見町一丁目１－１大和西大寺駅,飲食料品店,0742-36-7680,https://www.ban-inoue-shop.com/
うまいもんや味楽座西大寺店,〒631-0823 奈良県奈良市西大寺国見町1-2西大寺近鉄第2ビル1F,飲食店,0742-49-1351,https://kintetsu-rs.com/brand/
カフェ チャオプレッソ西大寺駅店,〒631-0823 奈良県奈良市西大寺国見町1丁目-1-1,飲食店,0742-33-7122,https://ciaopresso.com/
すき家  宝来店,〒631-0842 奈良県奈良市菅原町556-1,飲食店,0120-498-007,-
+FINO HOME CAFE,〒631-0844 奈良県奈良市宝来町928-1奈良宝来ビル4F,飲食店,0742-53-6822,-
マクドナルド阪奈宝来店,〒631-0845 奈良県奈良市宝来4-17-3,飲食店,0742-49-2260,https://map.mcdonalds.co.jp/map/29005
奈良パークホテル,〒631-0845 奈良県奈良市宝来4丁目18番1号,飲食店,0742-44-5255,-
ダイニング割烹にし田,〒631-0845 奈良県奈良市宝来2-9-4,飲食店,0742-41-4624,-
粋麺・おばんざい  あみ乃や近鉄奈良駅前店,〒631-8215 奈良県奈良市東向中町6奈良経済倶楽部ビル1F,飲食店,0742-81-3074,https://kintetsu-rs.com/brand/
近鉄百貨店奈良店  はんなりかふぇ憩和井,〒631-8511 奈良県奈良市西大寺東町2-4-1近鉄百貨店奈良店,飲食店,0742-33-1111,https://www.d-kintetsu.co.jp
近鉄百貨店奈良店  アンテノール（喫茶のみ）,〒631-8511 奈良県奈良市西大寺東町2-4-1近鉄百貨店奈良店,飲食店,0742-33-1111,https://www.d-kintetsu.co.jp
近鉄百貨店奈良店  福壽館（イートインのみ）,〒631-8511 奈良県奈良市西大寺東町2-4-1近鉄百貨店奈良店,飲食店,0742-33-1111,https://www.d-kintetsu.co.jp
近鉄百貨店奈良店  たこ焼き  くくる,〒631-8511 奈良県奈良市西大寺東町2-4-1近鉄百貨店奈良店,飲食店,0742-33-1111,https://www.d-kintetsu.co.jp
近鉄百貨店奈良店  パスタ＆ピッツァ  バジリコ,〒631-8511 奈良県奈良市西大寺東町2-4-1近鉄百貨店奈良店,飲食店,0742-33-1111,https://www.d-kintetsu.co.jp
近鉄百貨店奈良店  石窯ベーカリー  ブロットン（喫茶のみ）,〒631-8511 奈良県奈良市西大寺東町2-4-1近鉄百貨店奈良店,飲食店,0742-33-1111,https://www.d-kintetsu.co.jp
近鉄百貨店奈良店  タリーズコーヒー,〒631-8511 奈良県奈良市西大寺東町2-4-1近鉄百貨店奈良店,飲食店,0742-33-1111,https://www.d-kintetsu.co.jp
近鉄百貨店奈良店  オランジェカフェ,〒631-8511 奈良県奈良市西大寺東町2-4-1近鉄百貨店奈良店,飲食店,0742-33-1111,https://www.d-kintetsu.co.jp
餃子の王将天理インター店,〒632-0004 奈良県天理市櫟本町2263-1,飲食店,0743-65-0588,-
おしどり天理インター店,〒632-0004 奈良県天理市櫟本町2261-1-2,飲食店,0743-65-3530,-
ガスト 天理インター,〒632-0011 奈良県天理市石上町５０４,飲食店,0743-68-4030,-
うなぎのみしまや,〒632-0015 奈良県天理市三島町120,飲食店,0743-62-0902,-
や台ずし  天理駅前町,〒632-0016 奈良県天理市川原城町801辻村ビル1F,飲食店,0743-63-5560,http://yossix.co.jp/
Park Side Kitchen,〒632-0016 奈良県天理市川原城町803天理駅前広場,飲食店,0743-69-5770,https://parkside-kitchen.com/
食の発信地  東大門,〒632-0016 奈良県天理市川原城町698-1天理駅前第二ビル二階,飲食店,0743-69-4661,-
オステリア  マンジャベーネ  ,〒632-0016 奈良県天理市川原城町730グレイスピア中西  201,飲食店,0743-62-7822,-
大和軒  本店,〒632-0016 奈良県天理市川原城町287番地,飲食店,0743-62-0810,http://honten.yamatoken.co.jp/
懐石料理  秋田屋,〒632-0016 奈良県天理市川原城町287番地,飲食店,0743-62-5655,http://akitaya.yamatoken.co.jp/
天理すぎ乃,〒632-0016 奈良県天理市川原城町229,飲食店,0743-63-1419,http://sugino-oden.com
あじ豚  りきいち,〒632-0016 奈良県天理市川原城町817,飲食店,0743-63-9410,http://sugino-oden.com
隠れ酒場,〒632-0016 奈良県天理市川原城町703ふじやビル1F,飲食店,0743-62-2394,-
ラ チェーロ,〒632-0016 奈良県天理市川原城町886古川ビル201,飲食店,0743-20-8751,-
更科,〒632-0016 奈良県天理市川原城町306,飲食店,0743-62-0014,-
陽ざし,〒632-0016 奈良県天理市川原城町835カサデルソル,飲食店,0743-63-1421,-
焼肉一番,〒632-0016 奈良県天理市川原城町836,飲食店,0743-63-1495,-
創作和食  和楽,〒632-0016 奈良県天理市川原城町301-6,飲食店,080-6123-6478,-
創作和食すず美,〒632-0016 奈良県天理市川原城町260,飲食店,0743-63-5789,-
牛肉BAL plot,〒632-0016 奈良県天理市川原城町267-1,飲食店,0743-85-6129,https://nikubal-plot.gorp.jp/
原価Bar TEMOTO,〒632-0016 奈良県天理市川原城町632,飲食店,0743-84-6955,https://peraichi.com/landing_pages/view/temoto
御紋焼本舗,〒632-0016 奈良県天理市川原城町680天理ビル1階,飲食店,0743-62-3364,-
BarH2,〒632-0016 奈良県天理市川原城町725岡田ビル1階,飲食店,0743-62-9988,-
カフェテラスオヅ,〒632-0016 奈良県天理市川原城町693,飲食店,0743-62-0228,-
餃子  たか寿み,〒632-0016 奈良県天理市川原城町724,飲食店,0743-63-4444,http://takasumi.com
居酒家喜蔵  天理店,〒632-0016 奈良県天理市川原城町691,飲食店,0743-85-6718,http://meibi-mt.co.jp/%E4%BA%8B%E6%A5%AD%E6%A1%88%E5%86%85/%E5%B1%85%E9%85%92%E5%AE%B6%E3%80%80%E5%96%9C%E8%94%B5/
ブロスーゴ,〒632-0016 奈良県天理市川原城町276-2シャトー  デュ  ボヌール,飲食店,0743-85-5911,-
ダイニングキッチン和心,〒632-0017 奈良県天理市田部町528-2,飲食店,0743-63-5704,-
ステーキの店  あげいん,〒632-0017 奈良県天理市田部町151,飲食店,0743-63-2908,-
カフェ  ブリックス  ,〒632-0018 奈良県天理市別所町３１９－４,飲食店,0743-63-3278,http://cafebricks.net
得得  天理別所店,〒632-0018 奈良県天理市別所町12-2,飲食店,0743-63-4651,-
マクドナルド169天理店,〒632-0018 奈良県天理市別所町131-1,飲食店,0743-69-6680,https://map.mcdonalds.co.jp/map/29540
ルレーヴ,〒632-0032 奈良県天理市杣之内町１２３,飲食店,0743-63-6922,http://lereve-t.com/
農家Café けやき,〒632-0032 奈良県天理市杣之内町123-1 農家cafeけやき,飲食店,090-3485-0709,-
肉匠迎賓館,〒632-0033 奈良県天理市勾田町115-1,飲食店,0743-63-0029,http://www.yakinikugeihinkan.com
すき家  169号天理店,〒632-0033 奈良県天理市勾田町82-1,飲食店,0120-498-007,-
さかい珈琲  天理店,〒632-0035 奈良県天理市守目堂町１０６－２,飲食店,0743-85-6880,http://www.sakaicoffee.jp/store/tenri/
